count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000992,-0.189,-0.386,-3.05,-0.00353,-0.00296,-0.00284,0
2,0.001983,-0.193,-0.374,-3.06,-0.00356,-0.00282,-0.0027,0
3,0.002974,-0.183,-0.379,-3.044,-0.00354,-0.00299,-0.00223,0
4,0.003965,-0.211,-0.373,-3.026,-0.00359,-0.00292,-0.00243,0
5,0.004945,-0.19,-0.375,-3.06,-0.00348,-0.00293,-0.00227,0
6,0.005919,-0.193,-0.395,-3.074,-0.00346,-0.00292,-0.0026,0
7,0.00691,-0.197,-0.396,-3.016,-0.00341,-0.00285,-0.00252,0
8,0.007901,-0.192,-0.373,-3.082,-0.00354,-0.0029,-0.00264,0
9,0.008892,-0.193,-0.368,-3.08,-0.00347,-0.00289,-0.00279,0
10,0.009872,-0.194,-0.355,-3.087,-0.00325,-0.00285,-0.00299,0
11,0.010846,-0.194,-0.366,-3.06,-0.0034,-0.0029,-0.0027,0
12,0.011837,-0.192,-0.387,-3.073,-0.00336,-0.00306,-0.00301,0
13,0.012828,-0.213,-0.377,-3.079,-0.00337,-0.0029,-0.00286,0
14,0.013819,-0.195,-0.383,-3.098,-0.00339,-0.00288,-0.0029,0
15,0.014799,-0.19,-0.396,-3.055,-0.00326,-0.00287,-0.00241,0
16,0.015773,-0.188,-0.375,-3.052,-0.00333,-0.00278,-0.0032,0
17,0.016764,-0.188,-0.397,-3.066,-0.00333,-0.003,-0.00271,0
18,0.017755,-0.197,-0.368,-3.055,-0.00342,-0.00296,-0.0028,0
19,0.018746,-0.199,-0.373,-3.088,-0.00343,-0.00287,-0.00275,0
20,0.01972,-0.19,-0.371,-3.101,-0.00337,-0.00272,-0.00261,0
21,0.020694,-0.188,-0.383,-3.056,-0.00339,-0.0027,-0.00262,0
22,0.021685,-0.183,-0.374,-3.063,-0.00332,-0.00281,-0.00298,0
23,0.022676,-0.191,-0.364,-3.059,-0.00331,-0.00277,-0.00318,0
24,0.023668,-0.187,-0.385,-3.073,-0.00338,-0.00283,-0.00294,0
25,0.024642,-0.188,-0.402,-3.065,-0.00328,-0.00286,-0.00299,0
26,0.025616,-0.204,-0.382,-3.07,-0.00322,-0.00286,-0.00292,0
27,0.026607,-0.194,-0.399,-3.064,-0.00338,-0.00281,-0.00272,0
28,0.027598,-0.211,-0.386,-3.095,-0.00341,-0.00286,-0.00362,0
29,0.028591,-0.184,-0.385,-3.079,-0.00335,-0.00277,-0.0031,0
30,0.029565,-0.168,-0.382,-3.073,-0.00328,-0.00266,-0.00282,0
31,0.030557,-0.206,-0.383,-3.081,-0.00344,-0.00292,-0.00286,0
32,0.031548,-0.204,-0.388,-3.103,-0.00344,-0.00284,-0.00267,0
33,0.032539,-0.192,-0.376,-3.048,-0.00339,-0.00286,-0.00229,0
34,0.033515,-0.182,-0.376,-3.076,-0.00347,-0.00271,-0.00237,0
35,0.034489,-0.175,-0.368,-3.073,-0.00341,-0.00273,-0.0031,0
36,0.035481,-0.184,-0.379,-3.055,-0.00335,-0.00283,-0.00285,0
37,0.036472,-0.178,-0.395,-3.061,-0.00343,-0.00269,-0.00317,0
38,0.037463,-0.173,-0.356,-3.083,-0.00347,-0.00274,-0.00274,0
