count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000991,-0.179,-0.422,-2.934,-0.00314,-0.00266,-0.00284,0
2,0.001966,-0.187,-0.427,-2.959,-0.00307,-0.00262,-0.0028,0
3,0.00294,-0.159,-0.438,-2.968,-0.00303,-0.00253,-0.00274,0
4,0.003914,-0.174,-0.429,-2.98,-0.00307,-0.0026,-0.00233,0
5,0.004905,-0.174,-0.417,-2.965,-0.00297,-0.00269,-0.00259,0
6,0.005896,-0.176,-0.407,-2.958,-0.00305,-0.00263,-0.00259,0
7,0.006871,-0.172,-0.42,-2.941,-0.00303,-0.00241,-0.00213,0
8,0.007845,-0.184,-0.417,-2.952,-0.00317,-0.00248,-0.00238,0
9,0.008819,-0.176,-0.429,-2.969,-0.003,-0.00257,-0.00232,0
10,0.00981,-0.189,-0.42,-2.957,-0.0031,-0.00252,-0.00236,0
11,0.010801,-0.187,-0.387,-2.927,-0.00305,-0.00258,-0.00225,0
12,0.011776,-0.174,-0.426,-2.971,-0.00302,-0.00262,-0.00217,0
13,0.01275,-0.168,-0.431,-2.941,-0.003,-0.00244,-0.00284,0
14,0.013724,-0.141,-0.392,-2.947,-0.00296,-0.00231,-0.00219,0
15,0.014715,-0.178,-0.4,-2.97,-0.00293,-0.00255,-0.00261,0
16,0.015706,-0.168,-0.406,-2.95,-0.00297,-0.00259,-0.00246,0
17,0.016681,-0.186,-0.435,-2.998,-0.00305,-0.00248,-0.00259,0
18,0.017655,-0.184,-0.429,-2.953,-0.0029,-0.00252,-0.00275,0
19,0.018629,-0.179,-0.404,-2.981,-0.00306,-0.00251,-0.00253,0
20,0.01962,-0.152,-0.415,-2.939,-0.00303,-0.00252,-0.00202,0
21,0.020611,-0.147,-0.423,-2.925,-0.00312,-0.00255,-0.00228,0
22,0.021586,-0.183,-0.417,-2.952,-0.00311,-0.00261,-0.00239,0
23,0.02256,-0.197,-0.418,-2.971,-0.00301,-0.00264,-0.00297,0
24,0.023534,-0.174,-0.432,-2.948,-0.00298,-0.00263,-0.00275,0
25,0.024525,-0.179,-0.42,-2.964,-0.00294,-0.00264,-0.00283,0
26,0.025516,-0.165,-0.408,-2.951,-0.00296,-0.00264,-0.00254,0
27,0.026509,-0.186,-0.407,-2.929,-0.00309,-0.00257,-0.00248,0
28,0.027483,-0.183,-0.418,-2.944,-0.00307,-0.00253,-0.00236,0
29,0.028457,-0.183,-0.422,-2.948,-0.00296,-0.00255,-0.00259,0
30,0.029448,-0.188,-0.433,-2.951,-0.00295,-0.00264,-0.00243,0
31,0.030439,-0.161,-0.447,-2.95,-0.00296,-0.00259,-0.00235,0
32,0.031414,-0.17,-0.404,-2.949,-0.00312,-0.00261,-0.00247,0
33,0.032388,-0.175,-0.407,-2.91,-0.00304,-0.00266,-0.00281,0
34,0.033362,-0.16,-0.42,-2.92,-0.00315,-0.00254,-0.00206,0
