count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
75,0.073784,-0.192,-0.395,-2.885,-0.00198,-0.0026,-0.0028,0
76,0.074758,-0.168,-0.38,-2.851,-0.00189,-0.0026,-0.00234,0
77,0.075732,-0.186,-0.393,-2.862,-0.00184,-0.00266,-0.00191,0
78,0.076723,-0.172,-0.367,-2.882,-0.00199,-0.00252,-0.00163,0
79,0.077714,-0.164,-0.372,-2.894,-0.00195,-0.00234,-0.00241,0
80,0.078688,-0.172,-0.392,-2.868,-0.00198,-0.0025,-0.00194,0
81,0.079662,-0.16,-0.378,-2.892,-0.00188,-0.00242,-0.00167,0
82,0.080636,-0.164,-0.391,-2.889,-0.00172,-0.00253,-0.00184,0
83,0.081627,-0.19,-0.364,-2.879,-0.00175,-0.00262,-0.00177,0
84,0.082618,-0.174,-0.349,-2.854,-0.00179,-0.00258,-0.00184,0
85,0.083592,-0.173,-0.328,-2.894,-0.00173,-0.00244,-0.0018,0
86,0.084566,-0.175,-0.37,-2.905,-0.00175,-0.00257,-0.00214,0
87,0.08554,-0.155,-0.355,-2.857,-0.00184,-0.00244,-0.00148,0
88,0.086531,-0.159,-0.366,-2.873,-0.0018,-0.00227,-0.00157,0
89,0.087522,-0.176,-0.382,-2.885,-0.0018,-0.00247,-0.00202,0
90,0.088496,-0.157,-0.379,-2.876,-0.0018,-0.00243,-0.00168,0
91,0.08947,-0.182,-0.378,-2.881,-0.00181,-0.00241,-0.00153,0
92,0.090444,-0.162,-0.399,-2.876,-0.00167,-0.00256,-0.00152,0
93,0.091435,-0.138,-0.377,-2.907,-0.00174,-0.00246,-0.00152,0
94,0.092426,-0.174,-0.367,-2.905,-0.00178,-0.00261,-0.00165,0
95,0.0934,-0.155,-0.365,-2.87,-0.00182,-0.0025,-0.00157,0
96,0.094374,-0.161,-0.349,-2.876,-0.00201,-0.0026,-0.0017,0
97,0.095348,-0.168,-0.375,-2.892,-0.00183,-0.00251,-0.002,0
98,0.096339,-0.172,-0.387,-2.881,-0.00179,-0.0028,-0.0014,0
99,0.09733,-0.172,-0.375,-2.894,-0.0018,-0.0028,-0.00169,0
100,0.098304,-0.148,-0.378,-2.898,-0.00191,-0.00258,-0.00132,0
101,0.099278,-0.168,-0.364,-2.932,-0.00212,-0.00261,-0.00188,0
102,0.100252,-0.154,-0.355,-2.889,-0.00184,-0.0026,-0.00172,0
103,0.101243,-0.161,-0.364,-2.865,-0.0019,-0.00263,-0.00176,0
104,0.102234,-0.175,-0.361,-2.889,-0.00185,-0.00267,-0.00151,0
105,0.103208,-0.177,-0.389,-2.875,-0.00189,-0.00265,-0.00082,0
106,0.1042,-0.176,-0.381,-2.891,-0.00191,-0.00266,-0.00198,0
107,0.105174,-0.164,-0.415,-2.899,-0.00191,-0.00269,-0.00201,0
108,0.106165,-0.178,-0.389,-2.909,-0.00205,-0.00271,-0.00099,0
109,0.107156,-0.177,-0.387,-2.889,-0.00202,-0.00275,-0.00121,0
110,0.108132,-0.173,-0.402,-2.89,-0.0019,-0.0028,-0.00146,0
111,0.109106,-0.165,-0.391,-2.917,-0.00205,-0.00263,-0.00159,0
112,0.11008,-0.166,-0.369,-2.905,-0.00202,-0.0026,-0.00145,0
113,0.111071,-0.169,-0.384,-2.864,-0.00197,-0.00266,-0.00207,0
114,0.112062,-0.176,-0.377,-2.926,-0.00201,-0.00267,-0.00166,0
115,0.113038,-0.173,-0.366,-2.899,-0.00196,-0.00264,-0.00153,0
116,0.114012,-0.172,-0.364,-2.907,-0.00205,-0.00265,-0.00145,0
117,0.114986,-0.186,-0.36,-2.905,-0.00204,-0.00283,-0.00195,0
118,0.115977,-0.166,-0.38,-2.865,-0.00207,-0.00273,-0.00141,0
119,0.116968,-0.184,-0.387,-2.915,-0.00214,-0.00261,-0.0013,0
120,0.117944,-0.178,-0.388,-2.92,-0.00195,-0.0026,-0.00188,0
121,0.118918,-0.164,-0.383,-2.894,-0.00199,-0.00259,-0.00229,0
122,0.119892,-0.163,-0.375,-2.895,-0.00197,-0.00254,-0.00203,0
123,0.120883,-0.175,-0.387,-2.905,-0.00191,-0.00261,-0.0017,0
124,0.121874,-0.147,-0.368,-2.896,-0.00192,-0.00244,-0.00186,0
125,0.12285,-0.181,-0.378,-2.86,-0.00173,-0.00248,-0.00205,0
126,0.123824,-0.163,-0.374,-2.873,-0.00198,-0.00256,-0.00164,0
127,0.124798,-0.155,-0.359,-2.9,-0.00205,-0.00261,-0.00214,0
128,0.125789,-0.17,-0.377,-2.902,-0.00185,-0.00271,-0.00166,0
129,0.12678,-0.157,-0.399,-2.893,-0.00185,-0.00263,-0.0019,0
130,0.127756,-0.174,-0.369,-2.891,-0.00196,-0.00245,-0.00236,0
131,0.12873,-0.152,-0.37,-2.867,-0.00184,-0.00241,-0.00199,0
132,0.129704,-0.189,-0.378,-2.901,-0.00186,-0.00251,-0.00188,0
133,0.130695,-0.178,-0.38,-2.89,-0.00179,-0.00263,-0.00178,0
134,0.131686,-0.17,-0.366,-2.891,-0.00181,-0.00259,-0.00196,0
135,0.132662,-0.179,-0.369,-2.864,-0.00192,-0.00257,-0.00145,0
136,0.133636,-0.178,-0.411,-2.892,-0.00192,-0.00257,-0.00182,0
137,0.13461,-0.181,-0.392,-2.871,-0.00183,-0.00265,-0.00168,0
138,0.135601,-0.16,-0.384,-2.86,-0.00184,-0.00275,-0.00205,0
139,0.136592,-0.153,-0.401,-2.869,-0.00192,-0.00259,-0.00204,0
140,0.137568,-0.157,-0.358,-2.885,-0.00202,-0.00262,-0.00177,0
141,0.138542,-0.181,-0.372,-2.878,-0.00184,-0.00264,-0.00203,0
142,0.139516,-0.186,-0.375,-2.891,-0.00195,-0.00266,-0.00215,0
143,0.140507,-0.205,-0.381,-2.9,-0.00198,-0.00277,-0.00171,0
144,0.141498,-0.177,-0.381,-2.933,-0.00203,-0.00275,-0.00189,0
145,0.142474,-0.154,-0.373,-2.887,-0.00201,-0.00265,-0.00183,0
146,0.143448,-0.156,-0.392,-2.918,-0.00182,-0.0028,-0.00169,0
147,0.144422,-0.162,-0.403,-2.909,-0.00193,-0.00278,-0.00187,0
148,0.145413,-0.185,-0.372,-2.912,-0.0019,-0.00275,-0.00153,0
149,0.146404,-0.142,-0.357,-2.894,-0.00211,-0.00265,-0.00186,0
150,0.14738,-0.182,-0.373,-2.884,-0.00198,-0.00276,-0.00168,0
151,0.148354,-0.182,-0.387,-2.911,-0.00199,-0.00258,-0.00181,0
152,0.149328,-0.171,-0.384,-2.915,-0.00203,-0.00279,-0.0018,0
153,0.150319,-0.17,-0.392,-2.934,-0.00202,-0.00275,-0.00192,0
154,0.15131,-0.177,-0.374,-2.927,-0.00191,-0.00263,-0.0019,0
155,0.152286,-0.166,-0.396,-2.905,-0.00189,-0.00274,-0.00144,0
156,0.15326,-0.174,-0.384,-2.925,-0.00199,-0.00284,-0.00152,0
157,0.154234,-0.173,-0.355,-2.921,-0.00196,-0.00288,-0.00124,0
158,0.155225,-0.163,-0.363,-2.921,-0.002,-0.00274,-0.00205,0
159,0.156216,-0.167,-0.367,-2.936,-0.00203,-0.00267,-0.0018,0
160,0.157192,-0.151,-0.361,-2.915,-0.00194,-0.00258,-0.00167,0
161,0.158166,-0.168,-0.405,-2.949,-0.00198,-0.00258,-0.00164,0
162,0.15914,-0.178,-0.396,-2.884,-0.00197,-0.00269,-0.00163,0
163,0.160131,-0.157,-0.383,-2.895,-0.00188,-0.00276,-0.00132,0
164,0.161122,-0.151,-0.392,-2.914,-0.00188,-0.00265,-0.00187,0
165,0.162098,-0.143,-0.382,-2.905,-0.00198,-0.00256,-0.0018,0
166,0.163072,-0.156,-0.412,-2.911,-0.00192,-0.00259,-0.00146,0
167,0.164046,-0.164,-0.375,-2.892,-0.00197,-0.00277,-0.00168,0
168,0.165037,-0.164,-0.393,-2.939,-0.00195,-0.00279,-0.0013,0
169,0.166028,-0.17,-0.369,-2.934,-0.00202,-0.00264,-0.00157,0
170,0.167004,-0.169,-0.38,-2.902,-0.00181,-0.00271,-0.002,0
171,0.167978,-0.161,-0.4,-2.908,-0.00189,-0.00277,-0.00152,0
172,0.168952,-0.169,-0.395,-2.924,-0.00192,-0.00273,-0.00128,0
173,0.169943,-0.131,-0.396,-2.905,-0.0018,-0.0026,-0.00158,0
174,0.170934,-0.17,-0.402,-2.916,-0.00191,-0.00258,-0.0017,0
175,0.17191,-0.134,-0.394,-2.924,-0.00188,-0.00249,-0.0012,0
176,0.172884,-0.139,-0.378,-2.892,-0.00197,-0.00257,-0.00139,0
177,0.173858,-0.158,-0.419,-2.924,-0.00194,-0.00262,-0.00138,0
178,0.174849,-0.163,-0.386,-2.913,-0.00184,-0.00256,-0.00138,0
179,0.17584,-0.148,-0.376,-2.92,-0.00194,-0.00256,-0.00163,0
180,0.176816,-0.145,-0.375,-2.897,-0.00184,-0.00253,-0.00174,0
181,0.17779,-0.178,-0.391,-2.93,-0.00188,-0.00268,-0.00188,0
182,0.178764,-0.149,-0.366,-2.918,-0.00187,-0.00245,-0.0015,0
183,0.179755,-0.131,-0.387,-2.891,-0.00184,-0.00233,-0.00163,0
184,0.180746,-0.149,-0.369,-2.916,-0.00193,-0.00247,-0.00154,0
185,0.181722,-0.147,-0.377,-2.89,-0.00185,-0.0025,-0.00195,0
186,0.182696,-0.169,-0.357,-2.887,-0.00194,-0.00251,-0.00173,0
187,0.18367,-0.168,-0.375,-2.892,-0.00181,-0.00251,-0.00154,0
188,0.184661,-0.141,-0.378,-2.908,-0.00166,-0.00241,-0.0014,0
189,0.185652,-0.151,-0.403,-2.894,-0.00185,-0.00234,-0.00175,0
190,0.186628,-0.161,-0.391,-2.92,-0.00181,-0.00237,-0.00186,0
191,0.187602,-0.127,-0.375,-2.895,-0.0017,-0.00253,-0.0018,0
192,0.188576,-0.16,-0.375,-2.89,-0.00173,-0.00251,-0.00179,0
193,0.189567,-0.16,-0.372,-2.928,-0.00183,-0.00249,-0.00175,0
194,0.190558,-0.168,-0.376,-2.914,-0.00166,-0.00256,-0.00192,0
195,0.191534,-0.167,-0.391,-2.89,-0.0016,-0.00242,-0.00198,0
196,0.192508,-0.16,-0.366,-2.917,-0.00169,-0.00239,-0.0018,0
197,0.193482,-0.152,-0.39,-2.899,-0.00184,-0.00256,-0.0019,0
198,0.194473,-0.165,-0.381,-2.919,-0.00183,-0.00254,-0.00179,0
199,0.195464,-0.164,-0.397,-2.897,-0.00177,-0.00251,-0.00233,0
200,0.19644,-0.155,-0.383,-2.881,-0.00168,-0.0025,-0.00227,0
201,0.197414,-0.155,-0.407,-2.898,-0.00184,-0.00258,-0.00191,0
202,0.198388,-0.165,-0.379,-2.876,-0.00189,-0.00253,-0.00209,0
203,0.199379,-0.186,-0.393,-2.919,-0.00188,-0.00255,-0.00212,0
204,0.20037,-0.15,-0.384,-2.919,-0.00164,-0.00238,-0.00216,0
205,0.201346,-0.158,-0.39,-2.893,-0.00172,-0.00252,-0.00245,0
206,0.20232,-0.153,-0.417,-2.911,-0.00169,-0.00262,-0.00252,0
207,0.203294,-0.173,-0.424,-2.911,-0.0018,-0.00254,-0.00187,0
208,0.204285,-0.175,-0.375,-2.93,-0.00177,-0.00268,-0.00202,0
209,0.205276,-0.182,-0.377,-2.913,-0.00181,-0.00274,-0.00226,0
210,0.206252,-0.166,-0.406,-2.921,-0.00186,-0.00271,-0.00201,0
211,0.207226,-0.17,-0.38,-2.906,-0.00167,-0.00265,-0.00204,0
212,0.2082,-0.152,-0.384,-2.92,-0.00182,-0.00259,-0.00205,0
213,0.209191,-0.151,-0.371,-2.889,-0.0019,-0.00262,-0.00128,0
214,0.210182,-0.154,-0.385,-2.887,-0.0019,-0.00259,-0.00196,0
215,0.211158,-0.18,-0.37,-2.916,-0.00202,-0.00259,-0.0023,0
216,0.212132,-0.187,-0.394,-2.92,-0.00198,-0.00255,-0.00184,0
217,0.213106,-0.164,-0.382,-2.917,-0.00179,-0.00281,-0.00145,0
218,0.214097,-0.165,-0.407,-2.92,-0.00172,-0.00277,-0.00126,0
219,0.215088,-0.172,-0.359,-2.892,-0.00203,-0.00272,-0.0014,0
220,0.216064,-0.17,-0.368,-2.898,-0.00197,-0.00267,-0.00178,0
221,0.217038,-0.175,-0.381,-2.911,-0.0019,-0.0028,-0.00162,0
222,0.218012,-0.183,-0.399,-2.893,-0.00184,-0.00279,-0.00227,0
223,0.219003,-0.173,-0.388,-2.899,-0.00179,-0.00271,-0.00175,0
224,0.219994,-0.175,-0.383,-2.92,-0.00183,-0.00263,-0.00171,0
225,0.22097,-0.166,-0.374,-2.923,-0.00199,-0.00255,-0.00154,0
226,0.221944,-0.169,-0.381,-2.882,-0.00193,-0.00269,-0.00192,0
227,0.222918,-0.158,-0.385,-2.887,-0.00202,-0.00268,-0.00186,0
228,0.223909,-0.185,-0.39,-2.902,-0.00195,-0.00269,-0.00154,0
229,0.2249,-0.181,-0.392,-2.903,-0.0021,-0.00265,-0.00183,0
230,0.225876,-0.16,-0.353,-2.9,-0.00205,-0.00272,-0.00176,0
231,0.22685,-0.155,-0.397,-2.889,-0.00206,-0.00256,-0.00166,0
232,0.227824,-0.135,-0.394,-2.928,-0.00205,-0.00269,-0.00131,0
233,0.228815,-0.168,-0.363,-2.912,-0.0022,-0.0028,-0.0014,0
234,0.229806,-0.153,-0.39,-2.911,-0.00208,-0.00279,-0.00216,0
235,0.230782,-0.162,-0.409,-2.927,-0.00205,-0.00265,-0.0019,0
236,0.231756,-0.155,-0.393,-2.901,-0.00209,-0.00265,-0.00165,0
237,0.23273,-0.143,-0.385,-2.907,-0.00205,-0.00267,-0.00143,0
238,0.233721,-0.161,-0.392,-2.923,-0.00209,-0.00283,-0.00141,0
239,0.234712,-0.168,-0.39,-2.896,-0.00203,-0.00279,-0.00139,0
240,0.235688,-0.155,-0.415,-2.91,-0.00206,-0.00285,-0.00181,0
241,0.236662,-0.146,-0.405,-2.866,-0.00214,-0.0028,-0.00164,0
242,0.237636,-0.174,-0.392,-2.897,-0.00218,-0.00269,-0.00173,0
243,0.238627,-0.143,-0.396,-2.898,-0.0022,-0.00264,-0.00112,0
244,0.239618,-0.179,-0.387,-2.905,-0.00223,-0.00285,-0.00082,0
245,0.240594,-0.16,-0.372,-2.879,-0.00216,-0.00271,-0.00122,0
246,0.241568,-0.154,-0.371,-2.873,-0.0022,-0.00276,-0.00186,0
247,0.242542,-0.17,-0.405,-2.915,-0.00223,-0.00274,-0.00105,0
248,0.243533,-0.167,-0.427,-2.9,-0.00222,-0.00279,-0.0011,0
249,0.244524,-0.179,-0.388,-2.914,-0.0022,-0.00271,-0.00163,0
250,0.2455,-0.166,-0.4,-2.877,-0.00217,-0.0029,-0.00142,0
251,0.246474,-0.149,-0.384,-2.865,-0.00227,-0.00276,-0.00131,0
252,0.247448,-0.147,-0.395,-2.904,-0.00218,-0.00281,-0.00094,0
253,0.248439,-0.138,-0.387,-2.87,-0.00231,-0.00268,-0.00122,0
254,0.24943,-0.154,-0.392,-2.905,-0.00233,-0.00291,-0.00126,0
255,0.250406,-0.16,-0.4,-2.923,-0.00225,-0.00298,-0.00153,0
256,0.25138,-0.151,-0.391,-2.887,-0.00234,-0.0028,-0.00136,0
