count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000991,-0.232,-0.402,-3.051,-0.00314,-0.00265,-0.00344,0
2,0.001971,-0.221,-0.393,-3.044,-0.00328,-0.00257,-0.003,0
3,0.002945,-0.218,-0.436,-3.035,-0.00314,-0.00263,-0.00348,0
4,0.003937,-0.241,-0.429,-3.004,-0.00307,-0.00269,-0.00377,0
5,0.004928,-0.236,-0.42,-3.056,-0.00304,-0.00282,-0.00346,0
6,0.005919,-0.237,-0.411,-3.058,-0.00307,-0.00288,-0.00356,0
7,0.006899,-0.245,-0.404,-3.052,-0.00322,-0.0028,-0.00335,0
8,0.007873,-0.234,-0.416,-3.042,-0.00305,-0.00281,-0.00362,0
9,0.008865,-0.236,-0.39,-3.023,-0.00315,-0.00278,-0.0032,0
10,0.009856,-0.232,-0.418,-3.07,-0.00305,-0.00282,-0.00294,0
11,0.010847,-0.243,-0.397,-3.066,-0.00307,-0.003,-0.00355,0
12,0.011827,-0.262,-0.399,-3.031,-0.00294,-0.00291,-0.00304,0
13,0.012801,-0.238,-0.401,-3.055,-0.00304,-0.00297,-0.00336,0
14,0.013793,-0.249,-0.412,-3.064,-0.00301,-0.00296,-0.00335,0
15,0.014784,-0.245,-0.379,-3.061,-0.00309,-0.00296,-0.00322,0
16,0.015775,-0.25,-0.407,-3.083,-0.00306,-0.003,-0.00321,0
17,0.016755,-0.266,-0.398,-3.055,-0.00316,-0.00295,-0.00358,0
18,0.017729,-0.287,-0.395,-3.035,-0.00308,-0.00326,-0.00307,0
19,0.018721,-0.276,-0.406,-3.056,-0.00306,-0.00304,-0.00332,0
20,0.019712,-0.248,-0.382,-3.051,-0.00325,-0.00309,-0.00388,0
21,0.020703,-0.256,-0.387,-3.022,-0.00308,-0.003,-0.0035,0
22,0.021683,-0.246,-0.414,-3.013,-0.00325,-0.0032,-0.00347,0
23,0.022657,-0.25,-0.416,-3.06,-0.00324,-0.0032,-0.00276,0
24,0.023649,-0.262,-0.392,-3.062,-0.00306,-0.00315,-0.00344,0
25,0.02464,-0.271,-0.419,-3.031,-0.00308,-0.00327,-0.0034,0
26,0.025631,-0.235,-0.429,-3.073,-0.00312,-0.00317,-0.00288,0
27,0.026611,-0.249,-0.422,-3.093,-0.00317,-0.00306,-0.00277,0
28,0.027585,-0.223,-0.409,-3.033,-0.00314,-0.0032,-0.00288,0
29,0.028577,-0.258,-0.425,-3.059,-0.00319,-0.00325,-0.00318,0
30,0.029568,-0.238,-0.43,-3.046,-0.00317,-0.00321,-0.00314,0
31,0.030559,-0.257,-0.399,-3.038,-0.00321,-0.00328,-0.00292,0
32,0.031539,-0.247,-0.393,-3.03,-0.00335,-0.0033,-0.00306,0
33,0.032513,-0.266,-0.415,-3.038,-0.0033,-0.00325,-0.00332,0
34,0.033504,-0.267,-0.427,-3.017,-0.0033,-0.00328,-0.00326,0
35,0.034495,-0.244,-0.439,-3.024,-0.00328,-0.00318,-0.00328,0
36,0.035486,-0.251,-0.434,-3.022,-0.00342,-0.00338,-0.00305,0
37,0.036466,-0.266,-0.425,-3.03,-0.00346,-0.00338,-0.00283,0
38,0.03744,-0.251,-0.42,-3.005,-0.00348,-0.00338,-0.00292,0
39,0.038431,-0.24,-0.418,-3.044,-0.00336,-0.00325,-0.00321,0
40,0.039422,-0.241,-0.403,-3.041,-0.00343,-0.00327,-0.00278,0
41,0.040413,-0.254,-0.409,-3.05,-0.00351,-0.00331,-0.00265,0
42,0.041393,-0.232,-0.422,-3.051,-0.00344,-0.0032,-0.00257,0
43,0.042367,-0.243,-0.433,-3.047,-0.00349,-0.00321,-0.00285,0
44,0.043358,-0.226,-0.429,-3.033,-0.00348,-0.00348,-0.00336,0
45,0.044349,-0.247,-0.436,-3.054,-0.00348,-0.00326,-0.00307,0
46,0.04534,-0.262,-0.419,-3.042,-0.00357,-0.00343,-0.00267,0
47,0.04632,-0.244,-0.432,-3.034,-0.00349,-0.00322,-0.0027,0
48,0.047294,-0.239,-0.407,-3.031,-0.0035,-0.00331,-0.0031,0
49,0.048285,-0.243,-0.391,-3.03,-0.00357,-0.00322,-0.00302,0
50,0.049276,-0.242,-0.378,-3.045,-0.00358,-0.00323,-0.00272,0
51,0.050267,-0.256,-0.414,-3.035,-0.00371,-0.00328,-0.00282,0
52,0.051247,-0.263,-0.405,-3.034,-0.00357,-0.00316,-0.00288,0
53,0.052221,-0.255,-0.401,-3.04,-0.00365,-0.0031,-0.00268,0
54,0.053212,-0.245,-0.431,-3.061,-0.00356,-0.00313,-0.00314,0
55,0.054203,-0.236,-0.418,-3.032,-0.00367,-0.00317,-0.00289,0
56,0.055194,-0.256,-0.396,-3.071,-0.00365,-0.00321,-0.00306,0
57,0.056174,-0.231,-0.398,-3.005,-0.00377,-0.00314,-0.00286,0
58,0.057148,-0.244,-0.424,-3.027,-0.00377,-0.00294,-0.00261,0
59,0.058139,-0.217,-0.396,-3.018,-0.00381,-0.00299,-0.00243,0
60,0.05913,-0.229,-0.407,-3.068,-0.00375,-0.00307,-0.00289,0
61,0.060121,-0.241,-0.417,-3.024,-0.00369,-0.00301,-0.00314,0
62,0.061101,-0.251,-0.405,-3,-0.0037,-0.00312,-0.00302,0
63,0.062075,-0.23,-0.426,-2.982,-0.00362,-0.00286,-0.00289,0
64,0.063066,-0.23,-0.445,-3.049,-0.00361,-0.00294,-0.00345,0
65,0.064057,-0.226,-0.419,-3.049,-0.00368,-0.00291,-0.00366,0
66,0.065048,-0.266,-0.428,-3.05,-0.00377,-0.00305,-0.0031,0
67,0.066028,-0.247,-0.397,-3.034,-0.0037,-0.00302,-0.00316,0
68,0.067002,-0.235,-0.393,-3.028,-0.0037,-0.00289,-0.00329,0
69,0.067993,-0.251,-0.393,-3.001,-0.0038,-0.00294,-0.0033,0
70,0.068984,-0.237,-0.413,-3.001,-0.00376,-0.00286,-0.00282,0
71,0.069975,-0.222,-0.434,-3.038,-0.00365,-0.00297,-0.00341,0
72,0.070955,-0.243,-0.422,-3.027,-0.00383,-0.00286,-0.00365,0
73,0.071929,-0.234,-0.416,-3.055,-0.00382,-0.00281,-0.0032,0
74,0.07292,-0.222,-0.408,-3.027,-0.00383,-0.00276,-0.00394,0
75,0.073911,-0.242,-0.395,-3.002,-0.00376,-0.0029,-0.00348,0
76,0.074902,-0.249,-0.405,-3,-0.00358,-0.003,-0.00321,0
77,0.075882,-0.246,-0.426,-3.032,-0.00366,-0.00289,-0.00355,0
