count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000991,-0.157,-0.402,-3.248,-0.00162,-0.00307,-0.00076,0
2,0.001982,-0.157,-0.374,-3.225,-0.00148,-0.00311,-0.00092,0
3,0.002958,-0.168,-0.387,-3.206,-0.00165,-0.00308,-0.00091,0
4,0.003932,-0.169,-0.377,-3.234,-0.00166,-0.00316,-0.00082,0
5,0.004906,-0.171,-0.347,-3.207,-0.00156,-0.00325,-0.00066,0
6,0.005897,-0.163,-0.369,-3.211,-0.00167,-0.00322,-0.00102,0
7,0.006888,-0.152,-0.368,-3.182,-0.00168,-0.00313,-0.00078,0
8,0.007866,-0.148,-0.379,-3.198,-0.00162,-0.0031,-0.00107,0
9,0.00884,-0.155,-0.338,-3.178,-0.00173,-0.00309,-0.00101,0
10,0.009814,-0.172,-0.364,-3.195,-0.00158,-0.00315,-0.00122,0
11,0.010805,-0.168,-0.398,-3.245,-0.00161,-0.00325,-0.00124,0
12,0.011796,-0.155,-0.39,-3.204,-0.00168,-0.00325,-0.00098,0
13,0.012773,-0.19,-0.366,-3.255,-0.00162,-0.00301,-0.00103,0
14,0.013747,-0.188,-0.376,-3.226,-0.00152,-0.00314,-0.00064,0
15,0.014721,-0.173,-0.391,-3.223,-0.0016,-0.00321,-0.00106,0
16,0.015712,-0.162,-0.396,-3.212,-0.00158,-0.00324,-0.0003,0
17,0.016703,-0.157,-0.397,-3.229,-0.00159,-0.00311,-0.00134,0
18,0.017681,-0.156,-0.387,-3.236,-0.0015,-0.00305,-0.00141,0
19,0.018655,-0.162,-0.38,-3.264,-0.00156,-0.00301,-0.00137,0
20,0.019629,-0.164,-0.398,-3.203,-0.00161,-0.00309,-0.00136,0
21,0.02062,-0.131,-0.392,-3.225,-0.00154,-0.00305,-0.0015,0
22,0.021611,-0.16,-0.37,-3.223,-0.00165,-0.00319,-0.0013,0
23,0.022588,-0.173,-0.374,-3.218,-0.00158,-0.00307,-0.0014,0
24,0.023562,-0.171,-0.373,-3.255,-0.00162,-0.00314,-0.00106,0
25,0.024536,-0.164,-0.394,-3.247,-0.00148,-0.00307,-0.00114,0
26,0.025527,-0.162,-0.381,-3.219,-0.00155,-0.00308,-0.00174,0
27,0.026518,-0.17,-0.38,-3.253,-0.00149,-0.00301,-0.00131,0
28,0.027496,-0.156,-0.378,-3.273,-0.0016,-0.00314,-0.00131,0
29,0.02847,-0.143,-0.353,-3.227,-0.00166,-0.00314,-0.00075,0
30,0.029444,-0.142,-0.366,-3.212,-0.0015,-0.00304,-0.00059,0
31,0.030435,-0.143,-0.397,-3.204,-0.00143,-0.00308,-0.00091,0
32,0.031426,-0.151,-0.373,-3.264,-0.00168,-0.00313,-0.00117,0
33,0.032403,-0.142,-0.389,-3.24,-0.00181,-0.00303,-0.00099,0
34,0.033377,-0.149,-0.383,-3.21,-0.00161,-0.00315,-0.0008,0
35,0.034351,-0.158,-0.369,-3.224,-0.00159,-0.00307,-0.00107,0
36,0.035342,-0.168,-0.393,-3.211,-0.00153,-0.00314,-0.00083,0
37,0.036333,-0.167,-0.412,-3.222,-0.00164,-0.00314,-0.00143,0
38,0.037311,-0.148,-0.4,-3.254,-0.00152,-0.00309,-0.00126,0
39,0.038285,-0.136,-0.376,-3.237,-0.00147,-0.00303,-0.00137,0
40,0.039259,-0.149,-0.361,-3.246,-0.00163,-0.0032,-0.00147,0
41,0.04025,-0.145,-0.368,-3.206,-0.00147,-0.00306,-0.00119,0
42,0.041241,-0.161,-0.393,-3.255,-0.00152,-0.00306,-0.00103,0
43,0.042218,-0.17,-0.382,-3.22,-0.00141,-0.0033,-0.00073,0
44,0.043192,-0.143,-0.372,-3.214,-0.00152,-0.00312,-0.00126,0
45,0.044166,-0.147,-0.362,-3.241,-0.00162,-0.00307,-0.00132,0
46,0.045157,-0.152,-0.366,-3.211,-0.0017,-0.003,-0.00112,0
47,0.046148,-0.129,-0.408,-3.246,-0.00148,-0.00308,-0.00132,0
48,0.047127,-0.15,-0.371,-3.245,-0.00174,-0.00311,-0.00089,0
49,0.048101,-0.162,-0.381,-3.239,-0.00162,-0.00302,-0.00044,0
50,0.049075,-0.162,-0.366,-3.239,-0.00163,-0.00299,-0.00075,0
51,0.050066,-0.155,-0.394,-3.228,-0.00156,-0.00308,-0.00114,0
52,0.051057,-0.157,-0.392,-3.233,-0.00151,-0.0032,-0.00098,0
53,0.052036,-0.151,-0.395,-3.247,-0.00153,-0.00309,-0.00081,0
54,0.05301,-0.144,-0.381,-3.251,-0.00156,-0.00304,-0.00082,0
55,0.053984,-0.146,-0.378,-3.247,-0.00161,-0.00304,-0.00053,0
56,0.054975,-0.144,-0.369,-3.23,-0.0016,-0.003,-0.00122,0
57,0.055966,-0.147,-0.372,-3.257,-0.00157,-0.00318,-0.0008,0
58,0.056945,-0.13,-0.393,-3.247,-0.00164,-0.00317,-0.00083,0
59,0.057919,-0.155,-0.388,-3.249,-0.00157,-0.00312,-0.00097,0
60,0.058893,-0.169,-0.369,-3.254,-0.00155,-0.00312,-0.00109,0
61,0.059884,-0.155,-0.375,-3.261,-0.00151,-0.00303,-0.00078,0
62,0.060875,-0.193,-0.383,-3.279,-0.00162,-0.00322,-0.00096,0
63,0.061854,-0.163,-0.393,-3.252,-0.00149,-0.00323,-0.00096,0
