count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000991,-0.212,-0.343,-2.49,-0.00287,-0.00305,0.00015,0
2,0.001971,-0.224,-0.342,-2.487,-0.00284,-0.00305,-0.00011,0
3,0.002945,-0.216,-0.351,-2.499,-0.00283,-0.00296,1E-05,0
4,0.003919,-0.192,-0.348,-2.495,-0.00293,-0.00301,-0.00023,0
5,0.00491,-0.201,-0.351,-2.469,-0.00287,-0.00302,-0.00014,0
6,0.005901,-0.199,-0.336,-2.485,-0.00292,-0.00303,0.00022,0
7,0.006881,-0.187,-0.349,-2.488,-0.00287,-0.003,3E-05,0
8,0.007855,-0.183,-0.346,-2.47,-0.00299,-0.00303,-9E-05,0
9,0.008829,-0.186,-0.33,-2.482,-0.00296,-0.00305,-0.00035,0
10,0.00982,-0.203,-0.339,-2.521,-0.00302,-0.00302,-0.00017,0
11,0.010811,-0.193,-0.341,-2.501,-0.00295,-0.00307,0.00023,0
12,0.011791,-0.184,-0.344,-2.467,-0.00301,-0.00309,0.00033,0
13,0.012765,-0.176,-0.339,-2.512,-0.00307,-0.0029,7E-05,0
14,0.013739,-0.195,-0.347,-2.5,-0.00288,-0.00305,0,0
15,0.01473,-0.169,-0.345,-2.501,-0.0029,-0.00284,0.00052,0
16,0.015721,-0.182,-0.346,-2.516,-0.00299,-0.00266,0.0005,0
17,0.016701,-0.185,-0.329,-2.474,-0.00311,-0.00272,0.00015,0
18,0.017675,-0.173,-0.347,-2.484,-0.00308,-0.00269,0.00034,0
19,0.018649,-0.185,-0.331,-2.489,-0.00308,-0.00264,0.00056,0
20,0.01964,-0.175,-0.336,-2.51,-0.00306,-0.00259,0.00038,0
21,0.020631,-0.191,-0.343,-2.529,-0.00309,-0.00269,5E-05,0
22,0.021611,-0.204,-0.336,-2.47,-0.00311,-0.00262,6E-05,0
23,0.022585,-0.174,-0.316,-2.475,-0.00307,-0.00267,0.0005,0
24,0.023559,-0.214,-0.311,-2.46,-0.0033,-0.00265,-2E-05,0
25,0.02455,-0.196,-0.334,-2.491,-0.00335,-0.00282,-0.00026,0
26,0.025541,-0.171,-0.314,-2.483,-0.00333,-0.00257,0.00038,0
27,0.026521,-0.207,-0.342,-2.454,-0.00329,-0.00259,0.00061,0
28,0.027495,-0.218,-0.329,-2.462,-0.00317,-0.00278,-5E-05,0
