count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000991,-0.141,-0.405,-3.442,-0.00215,-0.00329,-0.00188,0
2,0.001982,-0.132,-0.367,-3.467,-0.00203,-0.0033,-0.00172,0
3,0.002957,-0.126,-0.396,-3.482,-0.00194,-0.00316,-0.00198,0
4,0.003931,-0.141,-0.376,-3.467,-0.0019,-0.0031,-0.00231,0
5,0.004905,-0.157,-0.376,-3.465,-0.00201,-0.00327,-0.00264,0
6,0.005896,-0.153,-0.394,-3.461,-0.00208,-0.00322,-0.00222,0
7,0.006887,-0.144,-0.388,-3.462,-0.00196,-0.00328,-0.00209,0
8,0.007862,-0.137,-0.385,-3.474,-0.00202,-0.00323,-0.0023,0
9,0.008836,-0.132,-0.392,-3.47,-0.00192,-0.0033,-0.0022,0
10,0.00981,-0.13,-0.397,-3.457,-0.00199,-0.00317,-0.00231,0
11,0.010801,-0.127,-0.414,-3.425,-0.0021,-0.00322,-0.00236,0
12,0.011792,-0.141,-0.396,-3.473,-0.00201,-0.00323,-0.0026,0
13,0.012767,-0.159,-0.399,-3.498,-0.00208,-0.00323,-0.00236,0
14,0.013741,-0.134,-0.404,-3.466,-0.00209,-0.00334,-0.00247,0
15,0.014715,-0.147,-0.386,-3.459,-0.0021,-0.00339,-0.0024,0
16,0.015706,-0.16,-0.372,-3.458,-0.00209,-0.0033,-0.00214,0
17,0.016697,-0.133,-0.374,-3.459,-0.00211,-0.00315,-0.00276,0
18,0.017672,-0.158,-0.395,-3.464,-0.00203,-0.0033,-0.0027,0
19,0.018646,-0.159,-0.396,-3.47,-0.00197,-0.00331,-0.00254,0
20,0.01962,-0.164,-0.401,-3.499,-0.00207,-0.00324,-0.00273,0
21,0.020611,-0.149,-0.38,-3.475,-0.00207,-0.00321,-0.00283,0
22,0.021602,-0.151,-0.386,-3.476,-0.00225,-0.00334,-0.00247,0
23,0.022577,-0.149,-0.402,-3.481,-0.00209,-0.00342,-0.00271,0
24,0.023551,-0.156,-0.39,-3.49,-0.00203,-0.00345,-0.00276,0
25,0.024525,-0.148,-0.399,-3.5,-0.00204,-0.00339,-0.00274,0
26,0.025516,-0.166,-0.383,-3.5,-0.00202,-0.00338,-0.00276,0
27,0.026507,-0.144,-0.388,-3.498,-0.00192,-0.00338,-0.00313,0
28,0.027482,-0.146,-0.375,-3.505,-0.002,-0.0033,-0.0028,0
29,0.028456,-0.149,-0.372,-3.502,-0.0021,-0.00329,-0.0035,0
30,0.02943,-0.142,-0.379,-3.483,-0.00197,-0.00318,-0.0032,0
31,0.030421,-0.166,-0.381,-3.494,-0.00202,-0.00323,-0.00257,0
32,0.031412,-0.165,-0.376,-3.508,-0.00205,-0.00335,-0.00308,0
33,0.032387,-0.15,-0.395,-3.53,-0.00192,-0.00324,-0.0033,0
34,0.033361,-0.147,-0.373,-3.492,-0.00198,-0.00329,-0.003,0
35,0.034335,-0.136,-0.384,-3.5,-0.00186,-0.00312,-0.00226,0
36,0.035326,-0.131,-0.37,-3.488,-0.00193,-0.00329,-0.00305,0
37,0.036317,-0.137,-0.383,-3.534,-0.00205,-0.00331,-0.00296,0
38,0.037292,-0.145,-0.392,-3.537,-0.00188,-0.00341,-0.00288,0
39,0.038266,-0.128,-0.372,-3.532,-0.00181,-0.00317,-0.00259,0
40,0.03924,-0.134,-0.36,-3.525,-0.002,-0.00325,-0.00275,0
41,0.040231,-0.117,-0.367,-3.551,-0.00183,-0.00319,-0.00224,0
42,0.041222,-0.141,-0.38,-3.5,-0.00189,-0.00332,-0.00298,0
43,0.042197,-0.134,-0.375,-3.507,-0.00184,-0.00335,-0.00232,0
44,0.043171,-0.135,-0.384,-3.506,-0.00195,-0.00343,-0.00245,0
45,0.044145,-0.149,-0.379,-3.514,-0.00192,-0.00339,-0.00252,0
