count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
77,0.07567,-0.121,-0.124,-2.687,0.00161,-0.00405,-0.00155,0
78,0.076661,-0.105,-0.105,-2.659,0.00156,-0.00416,-0.00162,0
79,0.077652,-0.115,-0.121,-2.657,0.00162,-0.00419,-0.00182,0
80,0.078632,-0.123,-0.112,-2.684,0.00165,-0.00432,-0.00186,0
81,0.079606,-0.129,-0.099,-2.643,0.00164,-0.00429,-0.00163,0
82,0.080598,-0.13,-0.116,-2.66,0.00175,-0.00422,-0.00149,0
83,0.081589,-0.13,-0.116,-2.674,0.00168,-0.00417,-0.00194,0
84,0.08258,-0.123,-0.121,-2.659,0.00156,-0.00426,-0.0018,0
85,0.08356,-0.123,-0.124,-2.669,0.00156,-0.00434,-0.00197,0
86,0.084534,-0.109,-0.112,-2.667,0.00176,-0.00414,-0.00185,0
87,0.085526,-0.131,-0.125,-2.652,0.00167,-0.00421,-0.00169,0
88,0.086517,-0.107,-0.124,-2.668,0.00161,-0.00425,-0.00197,0
89,0.087508,-0.105,-0.115,-2.653,0.00162,-0.00415,-0.00144,0
90,0.088488,-0.127,-0.103,-2.653,0.00157,-0.0043,-0.00166,0
91,0.08948,-0.096,-0.105,-2.633,0.0016,-0.00423,-0.00144,0
92,0.090472,-0.082,-0.114,-2.677,0.00174,-0.00413,-0.00178,0
93,0.091463,-0.103,-0.122,-2.672,0.00167,-0.00425,-0.0015,0
94,0.092454,-0.121,-0.117,-2.695,0.00167,-0.00407,-0.00212,0
95,0.093434,-0.132,-0.113,-2.655,0.00168,-0.00408,-0.00145,0
96,0.094408,-0.117,-0.128,-2.645,0.00162,-0.0042,-0.00201,0
97,0.0954,-0.103,-0.126,-2.67,0.0017,-0.00404,-0.00165,0
98,0.096391,-0.108,-0.13,-2.675,0.00167,-0.00412,-0.00192,0
99,0.097382,-0.103,-0.105,-2.674,0.00159,-0.00415,-0.00174,0
100,0.098362,-0.114,-0.121,-2.66,0.00158,-0.00414,-0.00149,0
