count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000976,-0.152,-0.442,-2.751,-0.0025,-0.0028,-0.00094,0
2,0.00195,-0.145,-0.454,-2.797,-0.00268,-0.00269,-0.0013,0
3,0.002924,-0.138,-0.44,-2.764,-0.00263,-0.00278,-0.00133,0
4,0.003915,-0.137,-0.427,-2.744,-0.00263,-0.0027,-0.00164,0
5,0.004906,-0.132,-0.436,-2.749,-0.0026,-0.00268,-0.00152,0
6,0.005882,-0.141,-0.447,-2.754,-0.00266,-0.00262,-0.00085,0
7,0.006874,-0.146,-0.457,-2.761,-0.00264,-0.00262,-0.00137,0
8,0.007848,-0.137,-0.452,-2.755,-0.0027,-0.00271,-0.00142,0
9,0.008839,-0.139,-0.448,-2.779,-0.00267,-0.00254,-0.00138,0
10,0.00983,-0.164,-0.465,-2.761,-0.00253,-0.00265,-0.00135,0
11,0.010807,-0.135,-0.453,-2.706,-0.00275,-0.00269,-0.00144,0
12,0.011781,-0.148,-0.424,-2.742,-0.00276,-0.00276,-0.00132,0
13,0.012755,-0.146,-0.431,-2.756,-0.00274,-0.00255,-0.00145,0
14,0.013746,-0.112,-0.439,-2.756,-0.00274,-0.00247,-0.0022,0
15,0.014737,-0.142,-0.433,-2.768,-0.00285,-0.00261,-0.00146,0
16,0.015714,-0.123,-0.421,-2.734,-0.00281,-0.00254,-0.00149,0
17,0.016688,-0.125,-0.441,-2.746,-0.00277,-0.00257,-0.00167,0
18,0.017662,-0.129,-0.429,-2.765,-0.00275,-0.00259,-0.00119,0
19,0.018653,-0.157,-0.417,-2.766,-0.00292,-0.00263,-0.00113,0
20,0.019644,-0.13,-0.422,-2.796,-0.00287,-0.00256,-0.00138,0
21,0.020621,-0.125,-0.45,-2.765,-0.00282,-0.00259,-0.00167,0
22,0.021595,-0.12,-0.433,-2.743,-0.00277,-0.00262,-0.00182,0
23,0.022569,-0.123,-0.434,-2.741,-0.00295,-0.00248,-0.00203,0
24,0.02356,-0.13,-0.442,-2.721,-0.00286,-0.00253,-0.00184,0
25,0.024551,-0.127,-0.448,-2.774,-0.00289,-0.00261,-0.0016,0
26,0.025528,-0.145,-0.437,-2.737,-0.0029,-0.00261,-0.00178,0
27,0.026502,-0.15,-0.431,-2.766,-0.00299,-0.00255,-0.00185,0
28,0.027476,-0.151,-0.44,-2.771,-0.00302,-0.00252,-0.00131,0
29,0.028467,-0.145,-0.426,-2.753,-0.00306,-0.00258,-0.00152,0
30,0.029458,-0.134,-0.425,-2.713,-0.00296,-0.00248,-0.00177,0
31,0.030435,-0.152,-0.427,-2.75,-0.00284,-0.00255,-0.00216,0
32,0.031409,-0.152,-0.458,-2.76,-0.00287,-0.00263,-0.00176,0
33,0.032383,-0.121,-0.445,-2.796,-0.00312,-0.00232,-0.00136,0
34,0.033374,-0.139,-0.468,-2.764,-0.00304,-0.00244,-0.00203,0
35,0.034365,-0.132,-0.437,-2.773,-0.00303,-0.00245,-0.00207,0
36,0.035343,-0.126,-0.422,-2.759,-0.00293,-0.0023,-0.00228,0
37,0.036317,-0.143,-0.442,-2.756,-0.00288,-0.00224,-0.00184,0
38,0.037291,-0.125,-0.424,-2.775,-0.00285,-0.00212,-0.00185,0
39,0.038282,-0.153,-0.403,-2.788,-0.00293,-0.00245,-0.00162,0
40,0.039273,-0.154,-0.429,-2.777,-0.00301,-0.00249,-0.00202,0
41,0.040251,-0.141,-0.439,-2.772,-0.00292,-0.00237,-0.00178,0
42,0.041225,-0.135,-0.451,-2.787,-0.00283,-0.00234,-0.00195,0
43,0.042199,-0.12,-0.444,-2.713,-0.00289,-0.00228,-0.00164,0
44,0.04319,-0.107,-0.422,-2.737,-0.00296,-0.00227,-0.0017,0
45,0.044181,-0.126,-0.439,-2.743,-0.00281,-0.00226,-0.00169,0
46,0.04516,-0.152,-0.439,-2.748,-0.00274,-0.00233,-0.0015,0
47,0.046134,-0.15,-0.415,-2.743,-0.0027,-0.00242,-0.00158,0
48,0.047108,-0.13,-0.431,-2.767,-0.0027,-0.00245,-0.00165,0
49,0.048099,-0.134,-0.437,-2.738,-0.00286,-0.00243,-0.00236,0
50,0.04909,-0.146,-0.433,-2.767,-0.00272,-0.00242,-0.00168,0
51,0.050069,-0.137,-0.437,-2.773,-0.00265,-0.0023,-0.00184,0
52,0.051043,-0.149,-0.449,-2.77,-0.00265,-0.00231,-0.00155,0
53,0.052017,-0.155,-0.428,-2.734,-0.00275,-0.00249,-0.00116,0
54,0.053008,-0.137,-0.431,-2.75,-0.00265,-0.00248,-0.00168,0
55,0.053999,-0.131,-0.442,-2.762,-0.00262,-0.00248,-0.00179,0
56,0.054977,-0.146,-0.455,-2.743,-0.00255,-0.00251,-0.00213,0
57,0.055951,-0.13,-0.435,-2.702,-0.00263,-0.00254,-0.00209,0
58,0.056925,-0.121,-0.423,-2.813,-0.00258,-0.00247,-0.00215,0
59,0.057916,-0.134,-0.422,-2.754,-0.00278,-0.00248,-0.00227,0
60,0.058907,-0.135,-0.432,-2.753,-0.00258,-0.00248,-0.00214,0
61,0.059885,-0.141,-0.424,-2.73,-0.00254,-0.00255,-0.00201,0
62,0.060859,-0.137,-0.433,-2.76,-0.00266,-0.00253,-0.00144,0
63,0.061833,-0.138,-0.423,-2.737,-0.00274,-0.0025,-0.00117,0
64,0.062824,-0.125,-0.433,-2.758,-0.00263,-0.00259,-0.00172,0
65,0.063815,-0.159,-0.439,-2.75,-0.00237,-0.00272,-0.00188,0
66,0.064793,-0.144,-0.447,-2.759,-0.00261,-0.00259,-0.00151,0
67,0.065767,-0.145,-0.433,-2.726,-0.00267,-0.0027,-0.00174,0
68,0.066741,-0.149,-0.443,-2.739,-0.00253,-0.0026,-0.00133,0
69,0.067732,-0.143,-0.433,-2.782,-0.00259,-0.00259,-0.0015,0
70,0.068723,-0.128,-0.428,-2.745,-0.00261,-0.00263,-0.0015,0
71,0.069703,-0.134,-0.431,-2.766,-0.00247,-0.00283,-0.00167,0
72,0.070677,-0.141,-0.441,-2.734,-0.00257,-0.00262,-0.00171,0
73,0.071651,-0.121,-0.458,-2.752,-0.00252,-0.00248,-0.00099,0
74,0.072642,-0.128,-0.427,-2.737,-0.00275,-0.00266,-0.00166,0
75,0.073633,-0.151,-0.431,-2.793,-0.00249,-0.00276,-0.00175,0
76,0.074613,-0.155,-0.43,-2.774,-0.00266,-0.00271,-0.00146,0
77,0.075587,-0.143,-0.454,-2.769,-0.00244,-0.00269,-0.00113,0
78,0.076561,-0.138,-0.459,-2.734,-0.00248,-0.00273,-0.0016,0
79,0.077552,-0.13,-0.434,-2.756,-0.00256,-0.00253,-0.00136,0
80,0.078543,-0.14,-0.435,-2.79,-0.00259,-0.00272,-0.00107,0
81,0.079523,-0.129,-0.438,-2.748,-0.00251,-0.00281,-0.00139,0
82,0.080497,-0.151,-0.445,-2.762,-0.00259,-0.0028,-0.00155,0
83,0.081471,-0.142,-0.441,-2.787,-0.00255,-0.00279,-0.0014,0
84,0.082462,-0.152,-0.453,-2.747,-0.00258,-0.00278,-0.00056,0
85,0.083453,-0.171,-0.449,-2.74,-0.00256,-0.00284,-0.0009,0
86,0.084433,-0.157,-0.443,-2.78,-0.00254,-0.00301,-0.00182,0
87,0.085407,-0.158,-0.428,-2.739,-0.00265,-0.00282,-0.00128,0
88,0.086381,-0.124,-0.424,-2.753,-0.00271,-0.00268,-0.00065,0
89,0.087372,-0.147,-0.444,-2.732,-0.00263,-0.00289,-0.00156,0
90,0.088363,-0.147,-0.427,-2.738,-0.00252,-0.00296,-0.00158,0
91,0.089343,-0.154,-0.413,-2.807,-0.00258,-0.00283,-0.00148,0
92,0.090317,-0.139,-0.449,-2.786,-0.00237,-0.00274,-0.00143,0
93,0.091291,-0.141,-0.459,-2.766,-0.00246,-0.0027,-0.00098,0
94,0.092282,-0.139,-0.452,-2.769,-0.00258,-0.00275,-0.00135,0
95,0.093273,-0.146,-0.453,-2.749,-0.00241,-0.00272,-0.00107,0
96,0.094253,-0.167,-0.452,-2.756,-0.00265,-0.00297,-0.00105,0
97,0.095227,-0.157,-0.432,-2.719,-0.00268,-0.00287,-0.00178,0
98,0.096201,-0.155,-0.43,-2.757,-0.00278,-0.00288,-0.00127,0
99,0.097192,-0.13,-0.426,-2.788,-0.00261,-0.00272,-0.00154,0
100,0.098183,-0.149,-0.431,-2.766,-0.00256,-0.00284,-0.00151,0
101,0.099163,-0.14,-0.437,-2.742,-0.00261,-0.00273,-0.00183,0
102,0.100155,-0.157,-0.425,-2.767,-0.00266,-0.00273,-0.00218,0
103,0.101129,-0.158,-0.431,-2.754,-0.00267,-0.00293,-0.00198,0
104,0.10212,-0.162,-0.428,-2.756,-0.0027,-0.00296,-0.00178,0
105,0.103111,-0.157,-0.421,-2.741,-0.00277,-0.00285,-0.00147,0
106,0.104091,-0.168,-0.394,-2.757,-0.00289,-0.00278,-0.00139,0
107,0.105065,-0.15,-0.437,-2.743,-0.00275,-0.0027,-0.00195,0
108,0.106039,-0.141,-0.434,-2.755,-0.00273,-0.00256,-0.00115,0
109,0.10703,-0.163,-0.467,-2.747,-0.00285,-0.00275,-0.00161,0
110,0.108021,-0.136,-0.457,-2.752,-0.00279,-0.00261,-0.0018,0
111,0.109001,-0.14,-0.455,-2.758,-0.00286,-0.00267,-0.00194,0
112,0.109975,-0.144,-0.457,-2.8,-0.00273,-0.00252,-0.00236,0
113,0.110949,-0.16,-0.437,-2.772,-0.00283,-0.0025,-0.00222,0
114,0.11194,-0.146,-0.41,-2.789,-0.00288,-0.00254,-0.0017,0
115,0.112931,-0.151,-0.414,-2.784,-0.00274,-0.00244,-0.00148,0
116,0.113911,-0.12,-0.46,-2.758,-0.00282,-0.00243,-0.00249,0
117,0.114885,-0.14,-0.445,-2.766,-0.00286,-0.00252,-0.0012,0
118,0.115859,-0.149,-0.438,-2.76,-0.00281,-0.00264,-0.00125,0
119,0.11685,-0.152,-0.415,-2.74,-0.00297,-0.00243,-0.00161,0
120,0.117841,-0.152,-0.417,-2.736,-0.00295,-0.00258,-0.00148,0
121,0.118821,-0.148,-0.436,-2.734,-0.00284,-0.00256,-0.00174,0
122,0.119795,-0.147,-0.441,-2.736,-0.00287,-0.00241,-0.00136,0
123,0.120769,-0.127,-0.448,-2.761,-0.0028,-0.00244,-0.00167,0
124,0.12176,-0.13,-0.442,-2.788,-0.00278,-0.00262,-0.00139,0
125,0.122751,-0.129,-0.428,-2.739,-0.00278,-0.00254,-0.00094,0
126,0.123731,-0.169,-0.441,-2.735,-0.00284,-0.00255,-0.00127,0
127,0.124705,-0.142,-0.443,-2.733,-0.0028,-0.00245,-0.00156,0
128,0.125679,-0.134,-0.42,-2.798,-0.00296,-0.00252,-0.00185,0
129,0.12667,-0.143,-0.451,-2.758,-0.00287,-0.00261,-0.00194,0
130,0.127661,-0.149,-0.43,-2.761,-0.00284,-0.00274,-0.00177,0
131,0.128641,-0.17,-0.418,-2.771,-0.00298,-0.0028,-0.0021,0
132,0.129615,-0.154,-0.414,-2.752,-0.00304,-0.0026,-0.0019,0
133,0.130589,-0.122,-0.45,-2.76,-0.00292,-0.00244,-0.00177,0
