count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000974,0.02,-0.044,-0.164,-9E-05,-0.00051,0.00044,0
2,0.001965,0.013,-0.06,-0.164,-9E-05,-0.00047,0.00011,0
3,0.002956,-0.006,-0.04,-0.155,-0.00013,-0.00046,-2E-05,0
4,0.003933,-0.014,-0.028,-0.168,-0.00018,-0.00052,0.00031,0
5,0.004907,0.006,-0.035,-0.163,-0.00017,-0.00038,0.00073,0
6,0.005881,0.011,-0.019,-0.139,-0.00013,-0.00048,0.00051,0
7,0.006872,0.008,-0.026,-0.158,-0.00012,-0.00053,0.00013,0
8,0.007863,0.009,-0.033,-0.177,-0.00012,-0.00044,0.00016,0
9,0.00884,0.011,-0.031,-0.172,-6E-05,-0.00044,-9E-05,0
10,0.009814,0.017,-0.035,-0.161,-8E-05,-0.00048,-0.00033,0
11,0.010788,-0.004,-0.014,-0.142,-0.00022,-0.00039,0.0002,0
12,0.011779,-0.007,-0.039,-0.158,-0.00015,-0.00057,0.00045,0
13,0.01277,0.015,-0.036,-0.125,-6E-05,-0.00048,0.00013,0
14,0.013747,0.011,-0.033,-0.142,-0.00016,-0.00046,-0.00015,0
15,0.014721,-0.006,-0.039,-0.161,-0.00011,-0.00042,0.00064,0
16,0.015695,0.001,-0.03,-0.176,-8E-05,-0.0004,0.00045,0
17,0.016686,-0.019,-0.026,-0.169,-0.00017,-0.00061,0.00077,0
18,0.017677,-0.007,0.001,-0.14,-0.00031,-0.00054,0.00063,0
19,0.018654,0.014,-0.028,-0.172,-0.00014,-0.00045,-0.00018,0
20,0.019628,0.02,-0.016,-0.165,-8E-05,-0.00049,-0.00019,0
21,0.020602,0.015,-0.043,-0.147,-3E-05,-0.00051,-9E-05,0
22,0.021593,0.019,-0.043,-0.172,-0.00016,-0.00054,9E-05,0
23,0.022584,0.003,-0.007,-0.184,-0.00029,-0.00046,0.00044,0
24,0.023561,0.016,-0.016,-0.168,-0.00011,-0.00046,0.00013,0
25,0.024535,0.022,-0.027,-0.163,-6E-05,-0.00051,-0.0003,0
26,0.025509,-0.009,-0.049,-0.17,-6E-05,-0.00049,0.00017,0
27,0.0265,0.009,-0.018,-0.164,-0.00021,-0.00053,0.00014,0
28,0.027491,0.002,-0.049,-0.139,-0.00017,-0.00053,0.00084,0
29,0.028468,0.01,-0.032,-0.139,-0.00021,-0.00045,0.00043,0
30,0.029442,0.011,-0.033,-0.169,-0.00019,-0.00055,8E-05,0
31,0.030416,0.018,-0.01,-0.156,-0.00028,-0.00041,-0.00013,0
32,0.031407,-0.003,-0.026,-0.156,-9E-05,-0.00041,0.00029,0
33,0.032398,0.005,-0.038,-0.157,-0.0001,-0.00043,0.00034,0
34,0.033375,-0.006,-0.055,-0.169,-9E-05,-0.0004,7E-05,0
35,0.034349,-0.003,-0.02,-0.154,-0.00024,-0.00044,1E-05,0
36,0.035323,0.009,-0.031,-0.15,-3E-05,-0.00043,-0.00063,0
37,0.036314,0.009,-0.011,-0.16,-7E-05,-0.00054,0.00018,0
38,0.037305,0.006,-0.024,-0.185,-0.00014,-0.0005,-0.00017,0
39,0.038283,0.011,-0.018,-0.177,-3E-05,-0.00054,0.00033,0
40,0.039257,0.038,-0.016,-0.176,-0.0001,-0.00058,0.00076,0
41,0.040231,0.003,-0.013,-0.155,-5E-05,-0.00048,0.00055,0
42,0.041222,0.003,-0.039,-0.177,-0.00013,-0.00056,9E-05,0
43,0.042213,0.012,-0.032,-0.15,-0.00019,-0.00047,0.00043,0
44,0.043191,-0.005,-0.038,-0.184,-0.00024,-0.00059,-2E-05,0
45,0.044165,-0.001,-0.04,-0.151,-0.00012,-0.00045,-0.00017,0
46,0.045139,0.017,-0.022,-0.14,8E-05,-0.00059,0.0004,0
47,0.04613,0.009,-0.036,-0.162,-1E-05,-0.0004,0.00041,0
48,0.047121,-0.001,-0.024,-0.155,5E-05,-0.00043,9E-05,0
49,0.0481,0.017,-0.04,-0.182,-0.00016,-0.00051,6E-05,0
50,0.049074,0.01,-0.034,-0.149,-0.0001,-0.00037,-9E-05,0
51,0.050048,-0.001,-0.022,-0.158,-8E-05,-0.00043,0.00025,0
52,0.051039,-0.001,-0.03,-0.181,-0.00016,-0.00049,0,0
53,0.05203,0.007,-0.041,-0.166,-1E-05,-0.00049,0.00012,0
54,0.053008,0.008,-0.043,-0.15,-0.00011,-0.00047,0.00034,0
55,0.053982,-0.002,-0.021,-0.156,-0.00027,-0.00043,0.00014,0
56,0.054956,0.007,-0.024,-0.157,-0.00016,-0.00043,0.00014,0
57,0.055947,-0.005,-0.055,-0.148,-9E-05,-0.00055,9E-05,0
58,0.056938,0.004,-0.018,-0.17,-4E-05,-0.00054,0.00045,0
59,0.057917,0.01,-0.024,-0.149,-3E-05,-0.00052,0.00087,0
60,0.058891,0.011,-0.053,-0.166,9E-05,-0.00043,4E-05,0
61,0.059865,0.003,-0.033,-0.16,-3E-05,-0.00058,-3E-05,0
62,0.060856,0.018,-0.017,-0.158,-0.00019,-0.0004,-0.00018,0
63,0.061847,0.01,-0.043,-0.202,-0.00013,-0.0005,-1E-05,0
64,0.062825,0.005,-0.023,-0.164,-0.00013,-0.00057,7E-05,0
65,0.063799,0.009,-0.027,-0.138,-0.00013,-0.0005,0.00014,0
66,0.064773,-0.023,-0.036,-0.158,-7E-05,-0.00049,0.00028,0
67,0.065764,0,-0.019,-0.209,-0.00016,-0.00058,-1E-05,0
68,0.066755,0.008,-0.009,-0.163,-8E-05,-0.00047,0.00051,0
69,0.067734,0.019,-0.015,-0.144,-0.0001,-0.00032,0.00036,0
70,0.068708,0.013,-0.011,-0.132,-0.00021,-0.00038,0.00047,0
71,0.069682,0.008,-0.022,-0.187,-0.00018,-0.00038,6E-05,0
72,0.070673,0.012,-0.024,-0.149,-0.00015,-0.00048,-5E-05,0
73,0.071664,0.001,-0.062,-0.159,-2E-05,-0.00046,0.00054,0
74,0.072644,-0.005,-0.042,-0.162,-0.00013,-0.00061,9E-05,0
75,0.073618,0.007,-0.052,-0.158,-7E-05,-0.00046,0.00029,0
76,0.074592,0.029,-0.043,-0.165,-0.00016,-0.00051,0.0003,0
77,0.075583,0.012,-0.038,-0.186,-0.00011,-0.00041,0.0008,0
78,0.076574,0.015,-0.052,-0.17,-0.00024,-0.00041,6E-05,0
79,0.077554,0.007,-0.051,-0.18,-0.00015,-0.00043,0.00029,0
80,0.078528,-0.002,-0.049,-0.168,-0.00011,-0.0007,0.00046,0
81,0.079502,0.003,-0.027,-0.141,-0.00015,-0.00043,0.00011,0
82,0.080493,-0.005,-0.044,-0.151,-8E-05,-0.00044,0.00061,0
83,0.081484,0.002,-0.039,-0.15,-0.0002,-0.0004,0.00082,0
84,0.082464,0.02,-0.045,-0.19,-0.00012,-0.00034,2E-05,0
85,0.083438,0.003,-0.035,-0.176,-0.0002,-0.00054,-0.00014,0
86,0.084412,-0.027,-0.041,-0.159,-0.00017,-0.00052,0.00016,0
87,0.085403,0.009,-0.023,-0.176,-0.00021,-0.00053,0.00014,0
88,0.086394,0.012,-0.026,-0.188,-0.00013,-0.00063,0.00018,0
89,0.087374,0.027,-0.038,-0.191,-5E-05,-0.00035,0.00033,0
90,0.088348,0.006,-0.042,-0.181,-3E-05,-0.00044,0.00033,0
91,0.089322,0.022,-0.036,-0.143,-5E-05,-0.00039,-0.00013,0
92,0.090313,0.016,-0.038,-0.15,2E-05,-0.00045,0.0005,0
93,0.091304,0.008,-0.037,-0.157,-2E-05,-0.00046,0.00016,0
94,0.092284,0.015,-0.044,-0.163,-0.00012,-0.00048,-0.00013,0
95,0.093258,0.006,-0.037,-0.162,-0.00017,-0.00043,-0.00043,0
96,0.094232,0.016,-0.011,-0.155,-0.00011,-0.00053,0.00027,0
97,0.095223,0.02,-0.021,-0.156,-0.0001,-0.00047,1E-05,0
98,0.096214,-0.012,-0.006,-0.179,-0.00023,-0.00066,0.0001,0
99,0.097194,-0.004,-0.033,-0.182,-0.00024,-0.00056,6E-05,0
100,0.098168,-0.002,-0.02,-0.158,-0.00013,-0.00063,0.00041,0
101,0.099142,-0.021,-0.01,-0.171,-0.00015,-0.00049,0.00048,0
102,0.100133,-0.011,-0.025,-0.179,-3E-05,-0.00051,0.00046,0
103,0.101124,0.009,-0.025,-0.192,-0.00018,-0.00043,0.00034,0
104,0.102104,-0.017,-0.034,-0.188,-0.00014,-0.00049,0.00085,0
105,0.103078,0.03,-0.027,-0.149,4E-05,-0.0004,0.00035,0
106,0.104052,0.014,-0.014,-0.147,-0.00015,-0.00038,-9E-05,0
107,0.105043,0.01,-0.015,-0.125,-0.00016,-0.00053,8E-05,0
108,0.106034,0,-0.038,-0.159,-0.00019,-0.00061,0.00028,0
109,0.107014,0.025,-0.034,-0.198,-0.00017,-0.00051,0.00033,0
110,0.107988,-0.002,-0.016,-0.163,-0.00017,-0.00063,0.00014,0
111,0.108962,0.005,-0.037,-0.193,-0.0002,-0.00048,-8E-05,0
112,0.109953,0.014,-0.026,-0.165,-6E-05,-0.00048,0.00021,0
113,0.110944,-0.006,-0.017,-0.183,-0.00012,-0.00058,8E-05,0
114,0.111924,0.005,-0.038,-0.176,0,-0.00048,-0.00021,0
115,0.112898,0.003,-0.013,-0.151,-0.0001,-0.00055,0.00019,0
116,0.113872,-0.012,-0.004,-0.171,-0.00018,-0.00056,0.00038,0
117,0.114863,-0.001,-0.025,-0.219,-7E-05,-0.00041,0.00025,0
118,0.115854,-0.001,-0.048,-0.18,-0.0001,-0.00056,0.00021,0
119,0.116834,-0.006,-0.027,-0.163,-0.00014,-0.00037,0.0001,0
120,0.117808,0.02,-0.018,-0.128,-0.00015,-0.00036,0.00013,0
121,0.118782,0.015,-0.025,-0.144,-0.00018,-0.00047,0.00015,0
122,0.119773,0.017,-0.022,-0.139,-0.00023,-0.00049,4E-05,0
123,0.120764,0.019,-0.016,-0.149,-0.00021,-0.00053,0.00036,0
124,0.121744,-0.008,-0.062,-0.165,-2E-05,-0.00051,0.00041,0
125,0.122718,-0.013,-0.06,-0.175,-9E-05,-0.00049,0.00017,0
126,0.123692,0.005,-0.034,-0.168,-0.00012,-0.00051,0.00068,0
127,0.124683,-0.01,-0.006,-0.146,-0.00014,-0.00053,0.00019,0
128,0.125674,0,-0.028,-0.177,-0.00013,-0.00049,0.00033,0
129,0.126654,0.001,-0.021,-0.15,-0.00016,-0.00056,-0.00026,0
130,0.127628,0.009,-0.019,-0.12,-0.00028,-0.00057,0.0004,0
131,0.128602,0.008,-0.03,-0.169,-0.0001,-0.00046,-0.00018,0
132,0.129593,0.003,-0.039,-0.159,-4E-05,-0.00049,-0.00019,0
133,0.130584,0.022,-0.042,-0.177,-1E-05,-0.00037,0.00013,0
134,0.131564,0.005,-0.026,-0.172,-7E-05,-0.00051,3E-05,0
135,0.132538,0.007,-0.026,-0.199,-0.00013,-0.00043,0.00028,0
136,0.133512,0.002,-0.045,-0.2,0,-0.00057,0.00031,0
137,0.134503,-0.004,-0.026,-0.163,-0.00015,-0.00053,0.00017,0
138,0.135494,0,-0.038,-0.183,-9E-05,-0.00048,0.00032,0
139,0.136474,0.018,-0.037,-0.158,2E-05,-0.00031,0.00081,0
140,0.137448,0.011,-0.019,-0.161,-0.00013,-0.00038,1E-05,0
141,0.138422,-0.007,-0.038,-0.152,-0.00018,-0.00046,0.00013,0
142,0.139413,-0.001,-0.016,-0.176,-0.00013,-0.00062,0.00054,0
143,0.140404,0.026,-0.012,-0.148,-1E-05,-0.00058,0.00056,0
144,0.141384,0.008,-0.02,-0.16,-0.00012,-0.00039,0.00028,0
145,0.142358,0.008,-0.001,-0.185,-6E-05,-0.00033,0.00058,0
146,0.143332,0.004,-0.019,-0.158,-1E-05,-0.00052,8E-05,0
147,0.144323,0.004,-0.035,-0.148,-0.00012,-0.00067,0.00046,0
148,0.145314,0.004,-0.015,-0.138,-0.00012,-0.00064,0.00011,0
149,0.146294,0.015,-0.009,-0.144,-0.00017,-0.00045,0.00014,0
150,0.147268,0.013,-0.039,-0.156,-1E-05,-0.00044,0.00014,0
151,0.148242,0.012,-0.018,-0.151,-2E-05,-0.00039,0.00021,0
152,0.149233,0.001,-0.025,-0.176,-8E-05,-0.00045,0.00032,0
153,0.150224,0.013,-0.015,-0.142,-0.00015,-0.0006,0,0
154,0.151204,0.012,-0.033,-0.172,-4E-05,-0.00057,4E-05,0
155,0.152178,0.002,-0.015,-0.147,-0.00013,-0.00051,0.0001,0
156,0.153152,0.015,0.003,-0.175,-0.00018,-0.00058,8E-05,0
157,0.154143,0.014,-0.036,-0.165,-0.00018,-0.00048,0.00055,0
158,0.155134,0.005,-0.025,-0.158,-0.0002,-0.00048,0.00028,0
159,0.156114,-0.003,-0.006,-0.145,-0.00031,-0.00046,0.00025,0
160,0.157088,-0.006,-0.024,-0.138,-0.00019,-0.00038,6E-05,0
161,0.158062,0.015,-0.047,-0.169,-0.0001,-0.00045,0.00043,0
162,0.159053,0.001,-0.025,-0.145,-0.00011,-0.00042,0.00041,0
163,0.160044,0.004,-0.033,-0.14,-0.00016,-0.00046,0.00036,0
164,0.161024,-0.003,-0.034,-0.157,-0.00016,-0.00051,-0.00018,0
165,0.161998,0.001,-0.042,-0.143,-0.00025,-0.00053,0.00012,0
166,0.162972,-0.009,-0.049,-0.152,-8E-05,-0.00054,0.00052,0
167,0.163963,-0.017,-0.056,-0.164,-7E-05,-0.00051,0.00041,0
168,0.164954,-0.018,-0.043,-0.136,4E-05,-0.00061,0.00049,0
169,0.165934,-0.002,-0.022,-0.17,-0.00015,-0.00056,0.00011,0
170,0.166908,0.022,-0.007,-0.151,-0.00017,-0.00039,0.00042,0
171,0.167882,-0.008,-0.025,-0.168,-0.00013,-0.00065,-7E-05,0
172,0.168873,-0.012,-0.035,-0.146,-0.00011,-0.00044,-3E-05,0
173,0.169864,-0.004,-0.044,-0.142,-0.00014,-0.00073,-0.00012,0
174,0.170844,0.011,-0.055,-0.177,2E-05,-0.0006,1E-05,0
175,0.171818,0.021,-0.029,-0.141,2E-05,-0.00047,3E-05,0
176,0.172792,-0.022,-0.032,-0.137,-0.00018,-0.00042,0.00013,0
177,0.173783,0.001,-0.029,-0.161,-0.00014,-0.00058,0.00013,0
178,0.174774,-0.015,-0.021,-0.194,-8E-05,-0.00052,0.00027,0
179,0.175754,0.002,-0.036,-0.181,-8E-05,-0.00057,0.00019,0
180,0.176728,0.005,-0.024,-0.158,-0.00016,-0.00051,0.00016,0
181,0.177702,0.008,-0.024,-0.141,-8E-05,-0.00057,-0.00019,0
182,0.178693,-0.009,-0.04,-0.175,-0.00019,-0.00049,2E-05,0
183,0.179684,-0.01,-0.038,-0.184,-0.00012,-0.00046,0.00039,0
184,0.180664,0.01,-0.029,-0.174,-0.00015,-0.00048,0.00012,0
185,0.181638,-0.014,-0.017,-0.172,-0.00023,-0.00062,0.00041,0
186,0.182612,-0.01,-0.032,-0.152,-0.00015,-0.00042,0.0002,0
187,0.183603,0.019,-0.029,-0.158,-6E-05,-0.00035,-0.00014,0
188,0.184594,0.011,-0.016,-0.158,-6E-05,-0.00049,0.00022,0
189,0.185574,0.003,-0.018,-0.206,-8E-05,-0.00044,-9E-05,0
190,0.186548,0,-0.029,-0.169,-0.00017,-0.00055,-0.00039,0
191,0.187522,-0.001,-0.031,-0.158,-6E-05,-0.00053,-0.00014,0
192,0.188513,0.001,-0.036,-0.186,-2E-05,-0.00062,0.00032,0
193,0.189504,-0.005,-0.03,-0.188,-8E-05,-0.0004,-0.0001,0
194,0.190484,-0.013,-0.062,-0.182,-7E-05,-0.00058,0.00036,0
195,0.191458,0.014,-0.051,-0.186,-2E-05,-0.00052,0.00027,0
196,0.192432,0.02,-0.04,-0.179,-0.00017,-0.0004,0.0001,0
197,0.193423,0,-0.019,-0.197,-0.00014,-0.00041,1E-05,0
198,0.194414,-0.005,-0.024,-0.204,-0.00018,-0.00055,0.00015,0
199,0.195394,0.008,-0.037,-0.166,-0.00012,-0.00038,0.00025,0
200,0.196368,-0.024,-0.029,-0.173,-0.00021,-0.00057,-0.0001,0
201,0.197342,0.002,-0.032,-0.177,-0.00015,-0.00037,2E-05,0
202,0.198333,0.008,-0.043,-0.145,-0.00014,-0.00041,0.00025,0
203,0.199324,0.02,-0.03,-0.13,-0.00023,-0.00047,-7E-05,0
204,0.200304,0.009,0.007,-0.15,-0.00034,-0.00063,0.00028,0
205,0.201278,0.002,-0.034,-0.16,-0.0001,-0.0005,-4E-05,0
206,0.20227,0.006,-0.025,-0.17,-0.00028,-0.00055,7E-05,0
207,0.203261,0.01,-0.02,-0.185,-6E-05,-0.00051,0.00024,0
208,0.204252,-0.019,-0.028,-0.175,-8E-05,-0.00047,0.00051,0
209,0.205232,-0.005,-0.037,-0.149,0,-0.00054,-5E-05,0
210,0.206206,-0.001,-0.047,-0.162,-0.00015,-0.00048,0.00031,0
211,0.20718,0.019,-0.018,-0.18,-5E-05,-0.00055,0.00036,0
212,0.208171,-0.003,-0.034,-0.165,-9E-05,-0.0006,0.00041,0
213,0.209162,0.005,-0.014,-0.166,-0.00011,-0.00065,8E-05,0
214,0.210142,-0.005,-0.032,-0.158,-0.00014,-0.00049,-0.0001,0
215,0.211116,0.004,-0.013,-0.149,-9E-05,-0.00058,-7E-05,0
216,0.21209,0.014,-0.009,-0.166,-0.00025,-0.00045,-0.00031,0
217,0.213081,-0.002,-0.021,-0.16,-0.00015,-0.00052,-0.00046,0
218,0.214072,0.01,-0.021,-0.159,-0.00023,-0.00062,-0.0001,0
219,0.215052,0.012,-0.046,-0.147,-9E-05,-0.00046,0.00056,0
220,0.216026,-0.014,-0.037,-0.157,-7E-05,-0.00046,0.00018,0
221,0.217018,0,-0.032,-0.179,-0.00012,-0.00041,-0.0002,0
222,0.218009,0.013,-0.038,-0.186,-0.00018,-0.00048,-0.00038,0
223,0.219,0.024,-0.024,-0.167,-0.00017,-0.00059,-2E-05,0
224,0.21998,0.024,-0.025,-0.187,-0.00019,-0.00046,0.00034,0
225,0.220954,0.005,-0.028,-0.169,-0.00013,-0.00033,3E-05,0
226,0.221946,0.007,-0.024,-0.178,-6E-05,-0.00041,-0.00045,0
227,0.222937,0.018,-0.012,-0.149,-0.00016,-0.00039,0.00052,0
228,0.223928,-0.004,-0.039,-0.15,-0.00012,-0.00038,-0.00015,0
229,0.224908,-0.009,-0.013,-0.19,-4E-05,-0.00052,-2E-05,0
230,0.225882,0.009,-0.018,-0.193,-9E-05,-0.00041,0.00012,0
231,0.226874,0,-0.038,-0.199,-0.00012,-0.00046,0.00058,0
232,0.227865,-0.008,-0.028,-0.14,-9E-05,-0.00068,0.00041,0
233,0.228856,0.014,-0.042,-0.157,-0.00021,-0.0005,0.00022,0
234,0.229836,0.006,-0.027,-0.146,-0.0002,-0.0005,0.00057,0
235,0.23081,0.009,-0.038,-0.143,-0.00017,-0.00051,0.00017,0
236,0.231802,-0.003,-0.012,-0.137,6E-05,-0.00057,0.00027,0
237,0.232793,0.014,-0.019,-0.163,-7E-05,-0.00052,-0.00011,0
238,0.233784,0.027,-0.029,-0.195,-9E-05,-0.00052,0.0001,0
239,0.234764,0.018,-0.024,-0.158,4E-05,-0.00054,-3E-05,0
240,0.235738,0.02,-0.043,-0.16,-0.0001,-0.00043,0,0
241,0.236729,0.01,-0.039,-0.175,-7E-05,-0.00054,-0.00028,0
242,0.23772,-0.021,-0.037,-0.209,-5E-05,-0.00066,0.00017,0
243,0.238711,-0.015,-0.031,-0.15,-0.0001,-0.00064,0.00018,0
244,0.239691,-0.013,-0.034,-0.15,-5E-05,-0.00046,-0.00073,0
245,0.240665,-0.003,-0.037,-0.162,-0.00018,-0.00052,-0.00033,0
246,0.241657,0.026,-0.033,-0.184,-0.0003,-0.00055,0.00059,0
247,0.242648,0.034,-0.012,-0.132,-6E-05,-0.00042,0.00021,0
248,0.243639,0,-0.019,-0.149,-8E-05,-0.00052,-4E-05,0
249,0.244619,0.017,-0.028,-0.148,-0.00026,-0.00056,-0.00037,0
250,0.245593,0.006,-0.029,-0.132,-0.00016,-0.00053,0.00011,0
251,0.246585,0.009,-0.028,-0.135,1E-05,-0.00058,0.0001,0
252,0.247576,0.012,-0.044,-0.183,-8E-05,-0.00044,5E-05,0
253,0.248567,-0.02,-0.025,-0.176,-9E-05,-0.00054,5E-05,0
254,0.249547,0.005,-0.03,-0.16,-4E-05,-0.00044,0.00024,0
255,0.250521,0.004,-0.009,-0.164,-0.0001,-0.00052,-0.0003,0
256,0.251512,0.005,-0.001,-0.155,-0.00022,-0.00052,0.00034,0
257,0.252503,0.007,-0.004,-0.176,-0.00026,-0.00062,0.00056,0
258,0.253494,0.015,-0.02,-0.179,-0.00018,-0.00044,0.00044,0
259,0.254474,0.012,-0.05,-0.184,-1E-05,-0.00036,0.00029,0
260,0.255448,0.008,-0.05,-0.166,-8E-05,-0.00036,0.00031,0
261,0.256439,0,-0.023,-0.148,-3E-05,-0.00051,0.00013,0
262,0.25743,-0.033,-0.031,-0.134,-0.00011,-0.00063,0.00059,0
263,0.258421,-0.008,-0.021,-0.166,3E-05,-0.00057,0.00041,0
264,0.259401,0.011,-0.041,-0.17,1E-05,-0.00057,-0.00012,0
265,0.260375,0.004,-0.048,-0.148,-7E-05,-0.00053,-7E-05,0
266,0.261366,-0.009,-0.034,-0.176,-0.00019,-0.00064,0.00021,0
267,0.262357,0.015,-0.034,-0.179,-0.00018,-0.00048,-8E-05,0
268,0.263348,0.002,-0.055,-0.202,3E-05,-0.00052,0.00039,0
