count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
1,0.000974,-0.106,-0.378,-2.98,-0.00306,-0.00261,-0.00129,0
2,0.001965,-0.1,-0.394,-3.006,-0.00306,-0.00266,-0.00145,0
3,0.002956,-0.131,-0.359,-2.979,-0.00307,-0.00261,-0.0018,0
4,0.00393,-0.114,-0.376,-2.995,-0.00302,-0.00277,-0.00135,0
5,0.004904,-0.101,-0.392,-3.021,-0.00305,-0.00272,-0.00078,0
6,0.005878,-0.125,-0.39,-3.003,-0.00312,-0.00267,-0.00088,0
7,0.006869,-0.133,-0.395,-3.026,-0.00306,-0.00277,-0.00124,0
8,0.00786,-0.116,-0.4,-3.019,-0.00315,-0.00266,-0.00165,0
9,0.008834,-0.106,-0.378,-2.973,-0.00302,-0.00261,-0.00145,0
10,0.009808,-0.107,-0.375,-3.018,-0.00309,-0.00248,-0.00125,0
11,0.010782,-0.105,-0.366,-3.007,-0.00316,-0.00265,-0.00112,0
12,0.011773,-0.114,-0.351,-3.023,-0.00316,-0.00259,-0.00121,0
13,0.012764,-0.128,-0.373,-3.028,-0.00322,-0.00275,-0.00116,0
14,0.013738,-0.109,-0.364,-3.005,-0.00312,-0.00265,-0.00134,0
15,0.014712,-0.106,-0.371,-3.014,-0.0032,-0.00272,-0.00128,0
16,0.015686,-0.11,-0.367,-2.986,-0.00327,-0.00276,-0.00126,0
17,0.016677,-0.122,-0.389,-3.017,-0.00313,-0.00278,-0.00133,0
18,0.017668,-0.123,-0.359,-2.979,-0.0032,-0.00268,-0.00158,0
19,0.018642,-0.133,-0.361,-3.003,-0.00343,-0.00285,-0.00146,0
20,0.019616,-0.124,-0.359,-2.996,-0.00339,-0.00281,-0.00105,0
21,0.02059,-0.129,-0.379,-2.992,-0.0034,-0.00274,-0.00121,0
22,0.021581,-0.12,-0.357,-2.98,-0.00344,-0.00272,-0.00116,0
23,0.022572,-0.13,-0.36,-2.98,-0.00336,-0.00276,-0.0012,0
24,0.023546,-0.126,-0.383,-2.987,-0.0034,-0.00279,-0.00113,0
25,0.02452,-0.132,-0.37,-3.028,-0.00325,-0.0029,-0.00158,0
26,0.025494,-0.132,-0.379,-2.987,-0.00337,-0.00284,-0.00127,0
27,0.026485,-0.13,-0.387,-3.008,-0.00342,-0.00285,-0.00122,0
28,0.027476,-0.145,-0.347,-3.017,-0.00351,-0.00288,-0.0012,0
29,0.02845,-0.123,-0.356,-2.999,-0.00354,-0.00285,-0.00098,0
30,0.029424,-0.134,-0.373,-2.984,-0.00356,-0.00292,-0.00093,0
31,0.030398,-0.123,-0.392,-3.001,-0.00369,-0.00292,-0.00103,0
32,0.031389,-0.158,-0.388,-2.992,-0.0037,-0.00289,-0.00117,0
33,0.03238,-0.149,-0.365,-2.999,-0.00362,-0.00301,-0.00099,0
34,0.033373,-0.169,-0.387,-2.992,-0.00363,-0.00303,-0.00121,0
35,0.034347,-0.134,-0.364,-3.023,-0.00372,-0.00308,-0.00176,0
36,0.035321,-0.156,-0.354,-3.004,-0.00378,-0.00305,-0.00116,0
37,0.036312,-0.14,-0.381,-3,-0.00365,-0.00311,-0.00065,0
38,0.037303,-0.15,-0.397,-3.008,-0.00374,-0.00316,-0.00052,0
39,0.038277,-0.156,-0.42,-3.016,-0.00357,-0.00311,-0.00103,0
40,0.039251,-0.139,-0.396,-2.98,-0.00366,-0.00327,-0.00081,0
41,0.040225,-0.136,-0.392,-3.026,-0.0036,-0.00316,-0.00114,0
42,0.041216,-0.125,-0.387,-3.038,-0.00366,-0.00311,-0.00073,0
43,0.042207,-0.117,-0.401,-3.012,-0.00344,-0.00318,-0.00035,0
44,0.043181,-0.162,-0.402,-2.997,-0.00331,-0.00323,-0.00058,0
45,0.044155,-0.155,-0.385,-3.011,-0.00344,-0.00308,-0.00087,0
46,0.045129,-0.141,-0.376,-3.035,-0.00343,-0.00309,-0.00107,0
47,0.04612,-0.146,-0.392,-2.994,-0.00334,-0.0031,-0.00161,0
48,0.047111,-0.141,-0.393,-3.007,-0.00327,-0.00302,-0.00078,0
49,0.048085,-0.139,-0.389,-3.004,-0.00316,-0.00313,-0.0006,0
50,0.049059,-0.134,-0.367,-3.036,-0.00315,-0.00301,-0.00051,0
51,0.050033,-0.13,-0.358,-2.985,-0.00322,-0.00304,-0.00059,0
52,0.051024,-0.133,-0.368,-2.997,-0.00316,-0.00301,-0.00026,0
53,0.052015,-0.156,-0.376,-2.988,-0.0032,-0.00308,-0.00105,0
54,0.052989,-0.165,-0.395,-3.004,-0.00311,-0.00292,-0.00075,0
55,0.053963,-0.125,-0.384,-3.002,-0.00303,-0.00287,-0.00099,0
56,0.054937,-0.137,-0.367,-2.988,-0.00305,-0.00299,-0.00049,0
57,0.055928,-0.123,-0.372,-2.98,-0.00314,-0.00301,-0.00049,0
58,0.056919,-0.111,-0.374,-3.01,-0.00299,-0.00297,-0.00087,0
59,0.057893,-0.121,-0.361,-2.997,-0.00295,-0.00308,-0.00107,0
60,0.058867,-0.132,-0.387,-3.019,-0.00292,-0.00298,-0.0008,0
61,0.059841,-0.127,-0.359,-3.019,-0.00295,-0.00293,-0.00105,0
62,0.060832,-0.137,-0.369,-2.976,-0.00297,-0.00298,-0.00093,0
63,0.061823,-0.125,-0.376,-2.997,-0.00301,-0.00284,-0.00066,0
64,0.062797,-0.137,-0.383,-2.996,-0.00295,-0.00291,-0.00116,0
65,0.063771,-0.126,-0.389,-2.99,-0.00297,-0.00291,-0.00074,0
66,0.064745,-0.133,-0.388,-3.014,-0.00301,-0.0029,-0.00102,0
67,0.065736,-0.153,-0.374,-3.001,-0.00283,-0.00294,-0.00123,0
68,0.066727,-0.151,-0.393,-3.003,-0.00276,-0.003,-0.00106,0
69,0.067701,-0.162,-0.393,-3.06,-0.00294,-0.00288,-0.00073,0
70,0.068675,-0.143,-0.383,-3.004,-0.00304,-0.00293,-0.00019,0
71,0.069649,-0.152,-0.372,-2.993,-0.00283,-0.00309,-0.00121,0
72,0.07064,-0.154,-0.365,-2.988,-0.00286,-0.00313,-0.00076,0
73,0.071631,-0.147,-0.392,-3.002,-0.00292,-0.00279,-0.00095,0
74,0.072605,-0.117,-0.373,-2.954,-0.00282,-0.00302,-0.00098,0
75,0.073579,-0.124,-0.396,-2.986,-0.00291,-0.00307,-0.00078,0
76,0.074553,-0.119,-0.402,-3.047,-0.00287,-0.00296,-0.00138,0
77,0.075544,-0.102,-0.373,-3.062,-0.00298,-0.00305,-0.00116,0
78,0.076535,-0.105,-0.369,-3.004,-0.00296,-0.00302,-0.00153,0
79,0.077509,-0.127,-0.392,-3.003,-0.00277,-0.00306,-0.00129,0
80,0.078483,-0.125,-0.378,-2.984,-0.00281,-0.003,-0.00093,0
81,0.079457,-0.121,-0.372,-3.012,-0.0028,-0.00293,-0.00131,0
82,0.080448,-0.133,-0.375,-3.011,-0.00284,-0.00295,-0.00111,0
83,0.081439,-0.121,-0.377,-3.018,-0.00274,-0.00291,-0.00174,0
84,0.082413,-0.117,-0.353,-2.982,-0.00279,-0.00295,-0.00127,0
85,0.083387,-0.116,-0.363,-3.012,-0.00283,-0.00289,-0.00096,0
86,0.084361,-0.123,-0.353,-3.024,-0.00284,-0.00272,-0.00129,0
87,0.085352,-0.144,-0.353,-3.002,-0.00282,-0.00293,-0.00112,0
88,0.086343,-0.139,-0.361,-3.018,-0.00274,-0.00277,-0.00098,0
89,0.087317,-0.156,-0.359,-3.019,-0.00266,-0.00275,-0.00144,0
90,0.088291,-0.122,-0.351,-2.993,-0.00265,-0.00262,-0.0011,0
91,0.089265,-0.109,-0.352,-3.022,-0.00269,-0.00262,-0.00136,0
92,0.090256,-0.115,-0.387,-3.022,-0.00269,-0.00272,-0.00112,0
93,0.091247,-0.107,-0.382,-3.019,-0.0027,-0.00256,-0.00108,0
94,0.092221,-0.099,-0.384,-3.029,-0.00291,-0.00254,-0.0015,0
95,0.093195,-0.094,-0.382,-3.016,-0.00296,-0.00259,-0.00128,0
96,0.094169,-0.089,-0.368,-2.998,-0.0029,-0.00268,-0.00074,0
97,0.09516,-0.115,-0.383,-3.014,-0.00289,-0.00262,-0.00118,0
98,0.096151,-0.109,-0.38,-2.998,-0.00298,-0.00261,-0.00152,0
99,0.097125,-0.098,-0.395,-3.033,-0.00297,-0.00255,-0.00156,0
100,0.098099,-0.094,-0.406,-2.983,-0.00293,-0.00259,-0.00138,0
101,0.099073,-0.084,-0.386,-2.974,-0.00287,-0.00241,-0.00099,0
102,0.100064,-0.108,-0.378,-2.992,-0.00278,-0.00228,-0.00085,0
103,0.101055,-0.12,-0.369,-2.974,-0.00293,-0.00252,-0.00129,0
104,0.102029,-0.133,-0.388,-2.995,-0.00283,-0.00255,-0.00125,0
105,0.103003,-0.122,-0.387,-2.984,-0.00286,-0.00236,-0.00123,0
106,0.103977,-0.152,-0.374,-3.01,-0.00296,-0.00232,-0.00158,0
107,0.104968,-0.171,-0.395,-3.048,-0.00303,-0.00245,-0.00141,0
108,0.105959,-0.175,-0.41,-3.017,-0.00291,-0.00248,-0.00098,0
109,0.106933,-0.153,-0.384,-3.002,-0.00296,-0.00255,-0.00095,0
110,0.107907,-0.139,-0.394,-2.985,-0.00305,-0.00251,-0.00042,0
111,0.108881,-0.15,-0.399,-2.97,-0.00282,-0.00263,-0.00192,0
112,0.109872,-0.084,-0.382,-2.971,-0.00273,-0.00261,-0.00164,0
113,0.110863,-0.109,-0.375,-2.988,-0.0027,-0.00278,-0.00115,0
114,0.111837,-0.099,-0.355,-3.027,-0.00284,-0.0027,-0.00112,0
115,0.112811,-0.105,-0.334,-3.013,-0.00276,-0.00264,-0.00064,0
116,0.113785,-0.104,-0.354,-3.029,-0.00277,-0.00275,-0.00103,0
117,0.114776,-0.109,-0.367,-3.048,-0.00272,-0.00278,-0.00111,0
118,0.115767,-0.113,-0.348,-3.039,-0.00274,-0.00271,-0.00114,0
119,0.116741,-0.127,-0.363,-2.999,-0.00282,-0.00267,-0.00118,0
120,0.117715,-0.115,-0.372,-3.005,-0.00275,-0.00262,-0.00143,0
